"Package","Version","Source","Type","Title","License","URL","Author","Maintainer","Repository"
"kableExtra","1.4.0","Repository","Package","Construct Complex Table with 'kable' and Pipe Syntax","MIT + file LICENSE","http://haozhu233.github.io/kableExtra/, https://github.com/haozhu233/kableExtra","Hao Zhu [aut, cre] (<https://orcid.org/0000-0002-3386-6076>), Thomas Travison [ctb], Timothy Tsai [ctb], Will Beasley [ctb], Yihui Xie [ctb], GuangChuang Yu [ctb], Stéphane Laurent [ctb], Rob Shepherd [ctb], Yoni Sidi [ctb], Brian Salzer [ctb], George Gui [ctb], Yeliang Fan [ctb], Duncan Murdoch [ctb], Vincent Arel-Bundock [ctb], Bill Evans [ctb]","Hao Zhu <haozhu233@gmail.com>","CRAN"
"knitr","1.50","Repository","Package","A General-Purpose Package for Dynamic Report Generation in R","GPL","https://yihui.org/knitr/","Yihui Xie [aut, cre] (<https://orcid.org/0000-0003-0645-5666>, https://yihui.org), Abhraneel Sarma [ctb], Adam Vogt [ctb], Alastair Andrew [ctb], Alex Zvoleff [ctb], Amar Al-Zubaidi [ctb], Andre Simon [ctb] (the CSS files under inst/themes/ were derived from the Highlight package http://www.andre-simon.de), Aron Atkins [ctb], Aaron Wolen [ctb], Ashley Manton [ctb], Atsushi Yasumoto [ctb] (<https://orcid.org/0000-0002-8335-495X>), Ben Baumer [ctb], Brian Diggs [ctb], Brian Zhang [ctb], Bulat Yapparov [ctb], Cassio Pereira [ctb], Christophe Dervieux [ctb], David Hall [ctb], David Hugh-Jones [ctb], David Robinson [ctb], Doug Hemken [ctb], Duncan Murdoch [ctb], Elio Campitelli [ctb], Ellis Hughes [ctb], Emily Riederer [ctb], Fabian Hirschmann [ctb], Fitch Simeon [ctb], Forest Fang [ctb], Frank E Harrell Jr [ctb] (the Sweavel package at inst/misc/Sweavel.sty), Garrick Aden-Buie [ctb], Gregoire Detrez [ctb], Hadley Wickham [ctb], Hao Zhu [ctb], Heewon Jeon [ctb], Henrik Bengtsson [ctb], Hiroaki Yutani [ctb], Ian Lyttle [ctb], Hodges Daniel [ctb], Jacob Bien [ctb], Jake Burkhead [ctb], James Manton [ctb], Jared Lander [ctb], Jason Punyon [ctb], Javier Luraschi [ctb], Jeff Arnold [ctb], Jenny Bryan [ctb], Jeremy Ashkenas [ctb, cph] (the CSS file at inst/misc/docco-classic.css), Jeremy Stephens [ctb], Jim Hester [ctb], Joe Cheng [ctb], Johannes Ranke [ctb], John Honaker [ctb], John Muschelli [ctb], Jonathan Keane [ctb], JJ Allaire [ctb], Johan Toloe [ctb], Jonathan Sidi [ctb], Joseph Larmarange [ctb], Julien Barnier [ctb], Kaiyin Zhong [ctb], Kamil Slowikowski [ctb], Karl Forner [ctb], Kevin K. Smith [ctb], Kirill Mueller [ctb], Kohske Takahashi [ctb], Lorenz Walthert [ctb], Lucas Gallindo [ctb], Marius Hofert [ctb], Martin Modrák [ctb], Michael Chirico [ctb], Michael Friendly [ctb], Michal Bojanowski [ctb], Michel Kuhlmann [ctb], Miller Patrick [ctb], Nacho Caballero [ctb], Nick Salkowski [ctb], Niels Richard Hansen [ctb], Noam Ross [ctb], Obada Mahdi [ctb], Pavel N. Krivitsky [ctb] (<https://orcid.org/0000-0002-9101-3362>), Pedro Faria [ctb], Qiang Li [ctb], Ramnath Vaidyanathan [ctb], Richard Cotton [ctb], Robert Krzyzanowski [ctb], Rodrigo Copetti [ctb], Romain Francois [ctb], Ruaridh Williamson [ctb], Sagiru Mati [ctb] (<https://orcid.org/0000-0003-1413-3974>), Scott Kostyshak [ctb], Sebastian Meyer [ctb], Sietse Brouwer [ctb], Simon de Bernard [ctb], Sylvain Rousseau [ctb], Taiyun Wei [ctb], Thibaut Assus [ctb], Thibaut Lamadon [ctb], Thomas Leeper [ctb], Tim Mastny [ctb], Tom Torsney-Weir [ctb], Trevor Davis [ctb], Viktoras Veitas [ctb], Weicheng Zhu [ctb], Wush Wu [ctb], Zachary Foster [ctb], Zhian N. Kamvar [ctb] (<https://orcid.org/0000-0003-1458-7108>), Posit Software, PBC [cph, fnd]","Yihui Xie <xie@yihui.name>","CRAN"
"labeling","0.4.3","Repository","Package","Axis Labeling","MIT + file LICENSE | Unlimited","","Justin Talbot,","Nuno Sempere <nuno.semperelh@gmail.com>","CRAN"
"later","1.4.2","Repository","Package","Utilities for Scheduling Functions to Execute Later with Event Loops","MIT + file LICENSE","https://r-lib.github.io/later/, https://github.com/r-lib/later","Winston Chang [aut, cre], Joe Cheng [aut], Charlie Gao [aut] (<https://orcid.org/0000-0002-0750-061X>), Posit Software, PBC [cph], Marcus Geelnard [ctb, cph] (TinyCThread library, https://tinycthread.github.io/), Evan Nemerson [ctb, cph] (TinyCThread library, https://tinycthread.github.io/)","Winston Chang <winston@posit.co>","CRAN"
"lattice","0.22-7","Repository","","Trellis Graphics for R","GPL (>= 2)","https://lattice.r-forge.r-project.org/","Deepayan Sarkar [aut, cre] (<https://orcid.org/0000-0003-4107-1553>), Felix Andrews [ctb], Kevin Wright [ctb] (documentation), Neil Klepeis [ctb], Johan Larsson [ctb] (miscellaneous improvements), Zhijian (Jason) Wen [cph] (filled contour code), Paul Murrell [ctb], Stefan Eng [ctb] (violin plot improvements), Achim Zeileis [ctb] (modern colors), Alexandre Courtiol [ctb] (generics for larrows, lpolygon, lrect and lsegments)","Deepayan Sarkar <deepayan.sarkar@r-project.org>","CRAN"
"lazyeval","0.2.2","Repository","","Lazy (Non-Standard) Evaluation","GPL-3","","Hadley Wickham [aut, cre], RStudio [cph]","Hadley Wickham <hadley@rstudio.com>","CRAN"
"lifecycle","1.0.4","Repository","","Manage the Life Cycle of your Package Functions","MIT + file LICENSE","https://lifecycle.r-lib.org/, https://github.com/r-lib/lifecycle","Lionel Henry [aut, cre], Hadley Wickham [aut] (<https://orcid.org/0000-0003-4757-117X>), Posit Software, PBC [cph, fnd]","Lionel Henry <lionel@posit.co>","CRAN"
"lintr","3.2.0","Repository","","A 'Linter' for R Code","MIT + file LICENSE","https://lintr.r-lib.org, https://github.com/r-lib/lintr","Jim Hester [aut], Florent Angly [aut] (fangly), Russ Hyde [aut], Michael Chirico [aut, cre], Kun Ren [aut], Alexander Rosenstock [aut] (AshesITR), Indrajeet Patil [aut] (<https://orcid.org/0000-0003-1995-6531>, @patilindrajeets)","Michael Chirico <michaelchirico4@gmail.com>","CRAN"
"logger","0.4.0","Repository","Package","A Lightweight, Modern and Flexible Logging Utility","MIT + file LICENSE","https://daroczig.github.io/logger/","Gergely Daróczi [aut, cre] (<https://orcid.org/0000-0003-3149-8537>), Hadley Wickham [aut] (<https://orcid.org/0000-0003-4757-117X>), System1 [fnd]","Gergely Daróczi <daroczig@rapporter.net>","CRAN"
"logr","1.3.9","Repository","","Creates Log Files","CC0","https://logr.r-sassy.org, https://github.com/dbosak01/logr","David Bosak [aut, cre], Rikard Isaksson [ctb]","David Bosak <dbosak01@gmail.com>","CRAN"
"magrittr","2.0.3","Repository","Package","A Forward-Pipe Operator for R","MIT + file LICENSE","https://magrittr.tidyverse.org, https://github.com/tidyverse/magrittr","Stefan Milton Bache [aut, cph] (Original author and creator of magrittr), Hadley Wickham [aut], Lionel Henry [cre], RStudio [cph, fnd]","Lionel Henry <lionel@rstudio.com>","CRAN"
"memoise","2.0.1","Repository","","'Memoisation' of Functions","MIT + file LICENSE","https://memoise.r-lib.org, https://github.com/r-lib/memoise","Hadley Wickham [aut], Jim Hester [aut], Winston Chang [aut, cre], Kirill Müller [aut], Daniel Cook [aut], Mark Edmondson [ctb]","Winston Chang <winston@rstudio.com>","CRAN"
"mgcv","1.9-3","Repository","","Mixed GAM Computation Vehicle with Automatic Smoothness Estimation","GPL (>= 2)","","Simon Wood [aut, cre]","Simon Wood <simon.wood@r-project.org>","CRAN"
"mime","0.13","Repository","Package","Map Filenames to MIME Types","GPL","https://github.com/yihui/mime","Yihui Xie [aut, cre] (<https://orcid.org/0000-0003-0645-5666>, https://yihui.org), Jeffrey Horner [ctb], Beilei Bian [ctb]","Yihui Xie <xie@yihui.name>","CRAN"
"minpack.lm","1.2-4","Repository","","R Interface to the Levenberg-Marquardt Nonlinear Least-Squares Algorithm Found in MINPACK, Plus Support for Bounds","GPL-3","","Timur V. Elzhov, Katharine M. Mullen, Andrej-Nikolai Spiess, Ben Bolker","Katharine M. Mullen <mullenkate@gmail.com>","CRAN"
"nlme","3.1-168","Repository","","Linear and Nonlinear Mixed Effects Models","GPL (>= 2)","https://svn.r-project.org/R-packages/trunk/nlme/","José Pinheiro [aut] (S version), Douglas Bates [aut] (up to 2007), Saikat DebRoy [ctb] (up to 2002), Deepayan Sarkar [ctb] (up to 2005), EISPACK authors [ctb] (src/rs.f), Siem Heisterkamp [ctb] (Author fixed sigma), Bert Van Willigen [ctb] (Programmer fixed sigma), Johannes Ranke [ctb] (varConstProp()), R Core Team [aut, cre] (02zz1nj61)","R Core Team <R-core@R-project.org>","CRAN"
"openssl","2.3.3","Repository","Package","Toolkit for Encryption, Signatures and Certificates Based on OpenSSL","MIT + file LICENSE","https://jeroen.r-universe.dev/openssl","Jeroen Ooms [aut, cre] (ORCID: <https://orcid.org/0000-0002-4035-0289>), Oliver Keyes [ctb]","Jeroen Ooms <jeroenooms@gmail.com>","CRAN"
"pillar","1.11.0","Repository","","Coloured Formatting for Columns","MIT + file LICENSE","https://pillar.r-lib.org/, https://github.com/r-lib/pillar","Kirill Müller [aut, cre] (ORCID: <https://orcid.org/0000-0002-1416-3412>), Hadley Wickham [aut], RStudio [cph]","Kirill Müller <kirill@cynkra.com>","CRAN"
"pkgbuild","1.4.8","Repository","","Find Tools Needed to Build R Packages","MIT + file LICENSE","https://github.com/r-lib/pkgbuild, https://pkgbuild.r-lib.org","Hadley Wickham [aut], Jim Hester [aut], Gábor Csárdi [aut, cre], Posit Software, PBC [cph, fnd] (ROR: <https://ror.org/03wc8by49>)","Gábor Csárdi <csardi.gabor@gmail.com>","CRAN"
"pkgconfig","2.0.3","Repository","","Private Configuration for 'R' Packages","MIT + file LICENSE","https://github.com/r-lib/pkgconfig#readme","Gábor Csárdi","Gábor Csárdi <csardi.gabor@gmail.com>","CRAN"
"pkgload","1.4.0","Repository","","Simulate Package Installation and Attach","GPL-3","https://github.com/r-lib/pkgload, https://pkgload.r-lib.org","Hadley Wickham [aut], Winston Chang [aut], Jim Hester [aut], Lionel Henry [aut, cre], Posit Software, PBC [cph, fnd], R Core team [ctb] (Some namespace and vignette code extracted from base R)","Lionel Henry <lionel@posit.co>","CRAN"
"plotly","4.11.0","Repository","","Create Interactive Web Graphics via 'plotly.js'","MIT + file LICENSE","https://plotly-r.com, https://github.com/plotly/plotly.R, https://plotly.com/r/","Carson Sievert [aut, cre] (ORCID: <https://orcid.org/0000-0002-4958-2844>), Chris Parmer [aut], Toby Hocking [aut], Scott Chamberlain [aut], Karthik Ram [aut], Marianne Corvellec [aut] (ORCID: <https://orcid.org/0000-0002-1994-3581>), Pedro Despouy [aut], Salim Brüggemann [ctb] (ORCID: <https://orcid.org/0000-0002-5329-5987>), Plotly Technologies Inc. [cph]","Carson Sievert <cpsievert1@gmail.com>","CRAN"
"plyr","1.8.9","Repository","","Tools for Splitting, Applying and Combining Data","MIT + file LICENSE","http://had.co.nz/plyr, https://github.com/hadley/plyr","Hadley Wickham [aut, cre]","Hadley Wickham <hadley@rstudio.com>","CRAN"
"png","0.1-8","Repository","","Read and write PNG images","GPL-2 | GPL-3","http://www.rforge.net/png/","Simon Urbanek <Simon.Urbanek@r-project.org>","Simon Urbanek <Simon.Urbanek@r-project.org>","CRAN"
"praise","1.0.0","Repository","","Praise Users","MIT + file LICENSE","https://github.com/gaborcsardi/praise","Gabor Csardi, Sindre Sorhus","Gabor Csardi <csardi.gabor@gmail.com>","CRAN"
"processx","3.8.6","Repository","","Execute and Control System Processes","MIT + file LICENSE","https://processx.r-lib.org, https://github.com/r-lib/processx","Gábor Csárdi [aut, cre, cph] (<https://orcid.org/0000-0001-7098-9676>), Winston Chang [aut], Posit Software, PBC [cph, fnd], Ascent Digital Services [cph, fnd]","Gábor Csárdi <csardi.gabor@gmail.com>","CRAN"
"promises","1.3.3","Repository","Package","Abstractions for Promise-Based Asynchronous Programming","MIT + file LICENSE","https://rstudio.github.io/promises/, https://github.com/rstudio/promises","Joe Cheng [aut, cre], Posit Software, PBC [cph, fnd] (ROR: <https://ror.org/03wc8by49>)","Joe Cheng <joe@posit.co>","CRAN"
"ps","1.9.1","Repository","","List, Query, Manipulate System Processes","MIT + file LICENSE","https://github.com/r-lib/ps, https://ps.r-lib.org/","Jay Loden [aut], Dave Daeschler [aut], Giampaolo Rodola' [aut], Gábor Csárdi [aut, cre], Posit Software, PBC [cph, fnd]","Gábor Csárdi <csardi.gabor@gmail.com>","CRAN"
"purrr","1.1.0","Repository","","Functional Programming Tools","MIT + file LICENSE","https://purrr.tidyverse.org/, https://github.com/tidyverse/purrr","Hadley Wickham [aut, cre] (ORCID: <https://orcid.org/0000-0003-4757-117X>), Lionel Henry [aut], Posit Software, PBC [cph, fnd] (ROR: <https://ror.org/03wc8by49>)","Hadley Wickham <hadley@posit.co>","CRAN"
"quarto","1.4.4","Repository","","R Interface to 'Quarto' Markdown Publishing System","GPL (>= 2)","https://github.com/quarto-dev/quarto-r, https://quarto-dev.github.io/quarto-r/","JJ Allaire [aut] (<https://orcid.org/0000-0003-0174-9868>), Christophe Dervieux [cre, aut] (<https://orcid.org/0000-0003-4474-2498>), Posit Software, PBC [cph, fnd]","Christophe Dervieux <cderv@posit.co>","CRAN"
"rappdirs","0.3.3","Repository","Package","Application Directories: Determine Where to Save Data, Caches, and Logs","MIT + file LICENSE","https://rappdirs.r-lib.org, https://github.com/r-lib/rappdirs","Hadley Wickham [trl, cre, cph], RStudio [cph], Sridhar Ratnakumar [aut], Trent Mick [aut], ActiveState [cph] (R/appdir.r, R/cache.r, R/data.r, R/log.r translated from appdirs), Eddy Petrisor [ctb], Trevor Davis [trl, aut], Gabor Csardi [ctb], Gregory Jefferis [ctb]","Hadley Wickham <hadley@rstudio.com>","CRAN"
"renv","1.1.5","Repository","Package","Project Environments","MIT + file LICENSE","https://rstudio.github.io/renv/, https://github.com/rstudio/renv","Kevin Ushey [aut, cre] (ORCID: <https://orcid.org/0000-0003-2880-7407>), Hadley Wickham [aut] (ORCID: <https://orcid.org/0000-0003-4757-117X>), Posit Software, PBC [cph, fnd]","Kevin Ushey <kevin@rstudio.com>","CRAN"
"reticulate","1.43.0","Repository","Package","Interface to 'Python'","Apache License 2.0","https://rstudio.github.io/reticulate/, https://github.com/rstudio/reticulate","Tomasz Kalinowski [ctb, cre], Kevin Ushey [aut], JJ Allaire [aut], RStudio [cph, fnd], Yuan Tang [aut, cph] (ORCID: <https://orcid.org/0000-0001-5243-233X>), Dirk Eddelbuettel [ctb, cph], Bryan Lewis [ctb, cph], Sigrid Keydana [ctb], Ryan Hafen [ctb, cph], Marcus Geelnard [ctb, cph] (TinyThread library, http://tinythreadpp.bitsnbites.eu/)","Tomasz Kalinowski <tomasz@posit.co>","CRAN"
"rex","1.2.1","Repository","Package","Friendly Regular Expressions","MIT + file LICENSE","https://github.com/kevinushey/rex","Kevin Ushey [aut, cre], Jim Hester [aut], Robert Krzyzanowski [aut]","Kevin Ushey <kevinushey@gmail.com>","CRAN"
"rhino","1.11.0","Repository","","A Framework for Enterprise Shiny Applications","LGPL-3","https://appsilon.github.io/rhino/, https://github.com/Appsilon/rhino","Kamil Żyła [aut, cre], Jakub Nowicki [aut], Leszek Siemiński [aut], Marek Rogala [aut], Recle Vibal [aut], Tymoteusz Makowski [aut], Rodrigo Basa [aut], Eduardo Almeida [ctb], Appsilon Sp. z o.o. [cph]","Kamil Żyła <opensource+kamil@appsilon.com>","CRAN"
"rlang","1.1.6","Repository","","Functions for Base Types and Core R and 'Tidyverse' Features","MIT + file LICENSE","https://rlang.r-lib.org, https://github.com/r-lib/rlang","Lionel Henry [aut, cre], Hadley Wickham [aut], mikefc [cph] (Hash implementation based on Mike's xxhashlite), Yann Collet [cph] (Author of the embedded xxHash library), Posit, PBC [cph, fnd]","Lionel Henry <lionel@posit.co>","CRAN"
"rmarkdown","2.29","Repository","Package","Dynamic Documents for R","GPL-3","https://github.com/rstudio/rmarkdown, https://pkgs.rstudio.com/rmarkdown/","JJ Allaire [aut], Yihui Xie [aut, cre] (<https://orcid.org/0000-0003-0645-5666>), Christophe Dervieux [aut] (<https://orcid.org/0000-0003-4474-2498>), Jonathan McPherson [aut], Javier Luraschi [aut], Kevin Ushey [aut], Aron Atkins [aut], Hadley Wickham [aut], Joe Cheng [aut], Winston Chang [aut], Richard Iannone [aut] (<https://orcid.org/0000-0003-3925-190X>), Andrew Dunning [ctb] (<https://orcid.org/0000-0003-0464-5036>), Atsushi Yasumoto [ctb, cph] (<https://orcid.org/0000-0002-8335-495X>, Number sections Lua filter), Barret Schloerke [ctb], Carson Sievert [ctb] (<https://orcid.org/0000-0002-4958-2844>), Devon Ryan [ctb] (<https://orcid.org/0000-0002-8549-0971>), Frederik Aust [ctb] (<https://orcid.org/0000-0003-4900-788X>), Jeff Allen [ctb], JooYoung Seo [ctb] (<https://orcid.org/0000-0002-4064-6012>), Malcolm Barrett [ctb], Rob Hyndman [ctb], Romain Lesur [ctb], Roy Storey [ctb], Ruben Arslan [ctb], Sergio Oller [ctb], Posit Software, PBC [cph, fnd], jQuery UI contributors [ctb, cph] (jQuery UI library; authors listed in inst/rmd/h/jqueryui/AUTHORS.txt), Mark Otto [ctb] (Bootstrap library), Jacob Thornton [ctb] (Bootstrap library), Bootstrap contributors [ctb] (Bootstrap library), Twitter, Inc [cph] (Bootstrap library), Alexander Farkas [ctb, cph] (html5shiv library), Scott Jehl [ctb, cph] (Respond.js library), Ivan Sagalaev [ctb, cph] (highlight.js library), Greg Franko [ctb, cph] (tocify library), John MacFarlane [ctb, cph] (Pandoc templates), Google, Inc. [ctb, cph] (ioslides library), Dave Raggett [ctb] (slidy library), W3C [cph] (slidy library), Dave Gandy [ctb, cph] (Font-Awesome), Ben Sperry [ctb] (Ionicons), Drifty [cph] (Ionicons), Aidan Lister [ctb, cph] (jQuery StickyTabs), Benct Philip Jonsson [ctb, cph] (pagebreak Lua filter), Albert Krewinkel [ctb, cph] (pagebreak Lua filter)","Yihui Xie <xie@yihui.name>","CRAN"
"rprojroot","2.1.0","Repository","","Finding Files in Project Subdirectories","MIT + file LICENSE","https://rprojroot.r-lib.org/, https://github.com/r-lib/rprojroot","Kirill Müller [aut, cre] (ORCID: <https://orcid.org/0000-0002-1416-3412>)","Kirill Müller <kirill@cynkra.com>","CRAN"
"rstudioapi","0.17.1","Repository","","Safely Access the RStudio API","MIT + file LICENSE","https://rstudio.github.io/rstudioapi/, https://github.com/rstudio/rstudioapi","Kevin Ushey [aut, cre], JJ Allaire [aut], Hadley Wickham [aut], Gary Ritchie [aut], RStudio [cph]","Kevin Ushey <kevin@rstudio.com>","CRAN"
"sass","0.4.10","Repository","Package","Syntactically Awesome Style Sheets ('Sass')","MIT + file LICENSE","https://rstudio.github.io/sass/, https://github.com/rstudio/sass","Joe Cheng [aut], Timothy Mastny [aut], Richard Iannone [aut] (<https://orcid.org/0000-0003-3925-190X>), Barret Schloerke [aut] (<https://orcid.org/0000-0001-9986-114X>), Carson Sievert [aut, cre] (<https://orcid.org/0000-0002-4958-2844>), Christophe Dervieux [ctb] (<https://orcid.org/0000-0003-4474-2498>), RStudio [cph, fnd], Sass Open Source Foundation [ctb, cph] (LibSass library), Greter Marcel [ctb, cph] (LibSass library), Mifsud Michael [ctb, cph] (LibSass library), Hampton Catlin [ctb, cph] (LibSass library), Natalie Weizenbaum [ctb, cph] (LibSass library), Chris Eppstein [ctb, cph] (LibSass library), Adams Joseph [ctb, cph] (json.cpp), Trifunovic Nemanja [ctb, cph] (utf8.h)","Carson Sievert <carson@rstudio.com>","CRAN"
"scales","1.4.0","Repository","","Scale Functions for Visualization","MIT + file LICENSE","https://scales.r-lib.org, https://github.com/r-lib/scales","Hadley Wickham [aut], Thomas Lin Pedersen [cre, aut] (<https://orcid.org/0000-0002-5147-4711>), Dana Seidel [aut], Posit Software, PBC [cph, fnd] (03wc8by49)","Thomas Lin Pedersen <thomas.pedersen@posit.co>","CRAN"
"shiny","1.11.1","Repository","Package","Web Application Framework for R","GPL-3 | file LICENSE","https://shiny.posit.co/, https://github.com/rstudio/shiny","Winston Chang [aut, cre] (ORCID: <https://orcid.org/0000-0002-1576-2126>), Joe Cheng [aut], JJ Allaire [aut], Carson Sievert [aut] (ORCID: <https://orcid.org/0000-0002-4958-2844>), Barret Schloerke [aut] (ORCID: <https://orcid.org/0000-0001-9986-114X>), Yihui Xie [aut], Jeff Allen [aut], Jonathan McPherson [aut], Alan Dipert [aut], Barbara Borges [aut], Posit Software, PBC [cph, fnd], jQuery Foundation [cph] (jQuery library and jQuery UI library), jQuery contributors [ctb, cph] (jQuery library; authors listed in inst/www/shared/jquery-AUTHORS.txt), jQuery UI contributors [ctb, cph] (jQuery UI library; authors listed in inst/www/shared/jqueryui/AUTHORS.txt), Mark Otto [ctb] (Bootstrap library), Jacob Thornton [ctb] (Bootstrap library), Bootstrap contributors [ctb] (Bootstrap library), Twitter, Inc [cph] (Bootstrap library), Prem Nawaz Khan [ctb] (Bootstrap accessibility plugin), Victor Tsaran [ctb] (Bootstrap accessibility plugin), Dennis Lembree [ctb] (Bootstrap accessibility plugin), Srinivasu Chakravarthula [ctb] (Bootstrap accessibility plugin), Cathy O'Connor [ctb] (Bootstrap accessibility plugin), PayPal, Inc [cph] (Bootstrap accessibility plugin), Stefan Petre [ctb, cph] (Bootstrap-datepicker library), Andrew Rowls [ctb, cph] (Bootstrap-datepicker library), Brian Reavis [ctb, cph] (selectize.js library), Salmen Bejaoui [ctb, cph] (selectize-plugin-a11y library), Denis Ineshin [ctb, cph] (ion.rangeSlider library), Sami Samhuri [ctb, cph] (Javascript strftime library), SpryMedia Limited [ctb, cph] (DataTables library), John Fraser [ctb, cph] (showdown.js library), John Gruber [ctb, cph] (showdown.js library), Ivan Sagalaev [ctb, cph] (highlight.js library), R Core Team [ctb, cph] (tar implementation from R)","Winston Chang <winston@posit.co>","CRAN"
"shinyFiles","0.9.3","Repository","Package","A Server-Side File System Viewer for Shiny","GPL (>= 2)","https://github.com/thomasp85/shinyFiles","Thomas Lin Pedersen [cre, aut] (<https://orcid.org/0000-0002-5147-4711>), Vincent Nijs [aut], Thomas Schaffner [aut], Eric Nantz [aut]","Thomas Lin Pedersen <thomasp85@gmail.com>","CRAN"
"shinyWidgets","0.9.0","Repository","","Custom Inputs Widgets for Shiny","GPL-3","https://github.com/dreamRs/shinyWidgets, https://dreamrs.github.io/shinyWidgets/","Victor Perrier [aut, cre, cph], Fanny Meyer [aut], David Granjon [aut], Ian Fellows [ctb] (Methods for mutating vertical tabs & updateMultiInput), Wil Davis [ctb] (numericRangeInput function), Spencer Matthews [ctb] (autoNumeric methods), JavaScript and CSS libraries authors [ctb, cph] (All authors are listed in LICENSE.md)","Victor Perrier <victor.perrier@dreamrs.fr>","CRAN"
"shinyalert","3.1.0","Repository","","Easily Create Pretty Popup Messages (Modals) in 'Shiny'","MIT + file LICENSE","https://github.com/daattali/shinyalert, https://daattali.com/shiny/shinyalert-demo/","Dean Attali [aut, cre] (<https://orcid.org/0000-0002-5645-3493>, R interface), Tristan Edwards [aut] (sweetalert library), Zhengjia Wang [ctb]","Dean Attali <daattali@gmail.com>","CRAN"
"shinyjs","2.1.0","Repository","","Easily Improve the User Experience of Your Shiny Apps in Seconds","MIT + file LICENSE","https://deanattali.com/shinyjs/","Dean Attali [aut, cre] (<https://orcid.org/0000-0002-5645-3493>)","Dean Attali <daattali@gmail.com>","CRAN"
"sourcetools","0.1.7-1","Repository","Package","Tools for Reading, Tokenizing and Parsing R Code","MIT + file LICENSE","","Kevin Ushey","Kevin Ushey <kevinushey@gmail.com>","CRAN"
"stringi","1.8.7","Repository","Package","Fast and Portable Character String Processing Facilities","file LICENSE","https://stringi.gagolewski.com/, https://github.com/gagolews/stringi, https://icu.unicode.org/","Marek Gagolewski [aut, cre, cph] (<https://orcid.org/0000-0003-0637-6028>), Bartek Tartanus [ctb], Unicode, Inc. and others [ctb] (ICU4C source code, Unicode Character Database)","Marek Gagolewski <marek@gagolewski.com>","CRAN"
"stringr","1.5.1","Repository","","Simple, Consistent Wrappers for Common String Operations","MIT + file LICENSE","https://stringr.tidyverse.org, https://github.com/tidyverse/stringr","Hadley Wickham [aut, cre, cph], Posit Software, PBC [cph, fnd]","Hadley Wickham <hadley@posit.co>","CRAN"
"styler","1.10.3","Repository","Package","Non-Invasive Pretty Printing of R Code","MIT + file LICENSE","https://github.com/r-lib/styler, https://styler.r-lib.org","Kirill Müller [aut] (<https://orcid.org/0000-0002-1416-3412>), Lorenz Walthert [cre, aut], Indrajeet Patil [ctb] (<https://orcid.org/0000-0003-1995-6531>, @patilindrajeets)","Lorenz Walthert <lorenz.walthert@icloud.com>","CRAN"
"svglite","2.2.1","Repository","","An 'SVG' Graphics Device","GPL (>= 2)","https://svglite.r-lib.org, https://github.com/r-lib/svglite","Hadley Wickham [aut], Lionel Henry [aut], Thomas Lin Pedersen [cre, aut] (ORCID: <https://orcid.org/0000-0002-5147-4711>), T Jake Luciani [aut], Matthieu Decorde [aut], Vaudor Lise [aut], Tony Plate [ctb] (Early line dashing code), David Gohel [ctb] (Line dashing code and early raster code), Yixuan Qiu [ctb] (Improved styles; polypath implementation), Håkon Malmedal [ctb] (Opacity code), Posit Software, PBC [cph, fnd] (ROR: <https://ror.org/03wc8by49>)","Thomas Lin Pedersen <thomas.pedersen@posit.co>","CRAN"
"sys","3.4.3","Repository","Package","Powerful and Reliable Tools for Running System Commands in R","MIT + file LICENSE","https://jeroen.r-universe.dev/sys","Jeroen Ooms [aut, cre] (<https://orcid.org/0000-0002-4035-0289>), Gábor Csárdi [ctb]","Jeroen Ooms <jeroenooms@gmail.com>","CRAN"
"systemfonts","1.2.3","Repository","Package","System Native Font Finding","MIT + file LICENSE","https://github.com/r-lib/systemfonts, https://systemfonts.r-lib.org","Thomas Lin Pedersen [aut, cre] (ORCID: <https://orcid.org/0000-0002-5147-4711>), Jeroen Ooms [aut] (ORCID: <https://orcid.org/0000-0002-4035-0289>), Devon Govett [aut] (Author of font-manager), Posit Software, PBC [cph, fnd] (ROR: <https://ror.org/03wc8by49>)","Thomas Lin Pedersen <thomas.pedersen@posit.co>","CRAN"
"testthat","3.2.3","Repository","","Unit Testing for R","MIT + file LICENSE","https://testthat.r-lib.org, https://github.com/r-lib/testthat","Hadley Wickham [aut, cre], Posit Software, PBC [cph, fnd], R Core team [ctb] (Implementation of utils::recover())","Hadley Wickham <hadley@posit.co>","CRAN"
"textshaping","1.0.1","Repository","","Bindings to the 'HarfBuzz' and 'Fribidi' Libraries for Text Shaping","MIT + file LICENSE","https://github.com/r-lib/textshaping","Thomas Lin Pedersen [cre, aut] (ORCID: <https://orcid.org/0000-0002-5147-4711>), Posit Software, PBC [cph, fnd] (ROR: <https://ror.org/03wc8by49>)","Thomas Lin Pedersen <thomas.pedersen@posit.co>","CRAN"
"tibble","3.3.0","Repository","","Simple Data Frames","MIT + file LICENSE","https://tibble.tidyverse.org/, https://github.com/tidyverse/tibble","Kirill Müller [aut, cre] (ORCID: <https://orcid.org/0000-0002-1416-3412>), Hadley Wickham [aut], Romain Francois [ctb], Jennifer Bryan [ctb], RStudio [cph, fnd]","Kirill Müller <kirill@cynkra.com>","CRAN"
